,fname,text
0,marleen van luijk komt het outsystems team van phact versterken.txt,marleen van luijk komt het outsystems team van phact versterken.txt.    Phact                    Onze diensten                          Software ontwikkeling                             Integratie                             Internet of Things                             Microsoft Power Platform                             Microsoft Azure                             Support & Beheer                           Over ons                          Over ons                             Onze werkwijze                             Cases                             Downloads                             Innovation Academy                             Ons team                             Werken bij Phact                             Onze Partners                          Blogs & Nieuws                      Werken bij                          Vacatures                           Neem contact op                         Onze diensten                    Software ontwikkeling                          Integratie                          Internet of Things                          Microsoft Power Platform                          Microsoft Azure                          Support & Beheer                    Over ons                    Over ons                          Onze werkwijze                          Cases                          Downloads                          Innovation Academy                          Ons team                          Werken bij Phact                          Onze Partners                    Blogs & Nieuws               Werken bij                    Vacatures                     Neem contact op           404. Dat is niet de bedoeling De pagina die je zoekt bestaat helaas niet (meer).     Homepage   Contact   LinkedIn     Navigatie  Home  Softwareontwikkeling  Integratie  Internet of Things  Support & Beheer  OutSystems  Suresense  Over ons  Onze werkwijze  Onze klanten  Vacatures en afstuderen  Informatiebeveiliging  Algemene voorwaarden  Privacy policy  Downloads   Contactinformatie  Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01   Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01  Phact Supportdesk: +31 478 700 567            © Phact BV 2022              Edit page     Dashboard     Settings     Website Design     Page cached on Thu. 25 May 19:55   Renew cache   
1,6 interessante ai toepassingen van computer vision.txt,6 interessante ai toepassingen van computer vision.txt.    Phact                    Onze diensten                          Software ontwikkeling                             Integratie                             Internet of Things                             Microsoft Power Platform                             Microsoft Azure                             Support & Beheer                           Over ons                          Over ons                             Onze werkwijze                             Cases                             Downloads                             Innovation Academy                             Ons team                             Werken bij Phact                             Onze Partners                          Blogs & Nieuws                      Werken bij                          Vacatures                           Neem contact op                         Onze diensten                    Software ontwikkeling                          Integratie                          Internet of Things                          Microsoft Power Platform                          Microsoft Azure                          Support & Beheer                    Over ons                    Over ons                          Onze werkwijze                          Cases                          Downloads                          Innovation Academy                          Ons team                          Werken bij Phact                          Onze Partners                    Blogs & Nieuws               Werken bij                    Vacatures                     Neem contact op           404. Dat is niet de bedoeling De pagina die je zoekt bestaat helaas niet (meer).     Homepage   Contact   LinkedIn     Navigatie  Home  Softwareontwikkeling  Integratie  Internet of Things  Support & Beheer  OutSystems  Suresense  Over ons  Onze werkwijze  Onze klanten  Vacatures en afstuderen  Informatiebeveiliging  Algemene voorwaarden  Privacy policy  Downloads   Contactinformatie  Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01   Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01  Phact Supportdesk: +31 478 700 567            © Phact BV 2022              Edit page     Dashboard     Settings     Website Design     Page cached on Thu. 25 May 19:55   Renew cache   
2,waarom microsoft excel gevaarlijk is voor jouw bedrijf.txt,waarom microsoft excel gevaarlijk is voor jouw bedrijf.txt.    Phact                    Onze diensten                          Software ontwikkeling                             Integratie                             Internet of Things                             Microsoft Power Platform                             Microsoft Azure                             Support & Beheer                           Over ons                          Over ons                             Onze werkwijze                             Cases                             Downloads                             Innovation Academy                             Ons team                             Werken bij Phact                             Onze Partners                          Blogs & Nieuws                      Werken bij                          Vacatures                           Neem contact op                         Onze diensten                    Software ontwikkeling                          Integratie                          Internet of Things                          Microsoft Power Platform                          Microsoft Azure                          Support & Beheer                    Over ons                    Over ons                          Onze werkwijze                          Cases                          Downloads                          Innovation Academy                          Ons team                          Werken bij Phact                          Onze Partners                    Blogs & Nieuws               Werken bij                    Vacatures                     Neem contact op           404. Dat is niet de bedoeling De pagina die je zoekt bestaat helaas niet (meer).     Homepage   Contact   LinkedIn     Navigatie  Home  Softwareontwikkeling  Integratie  Internet of Things  Support & Beheer  OutSystems  Suresense  Over ons  Onze werkwijze  Onze klanten  Vacatures en afstuderen  Informatiebeveiliging  Algemene voorwaarden  Privacy policy  Downloads   Contactinformatie  Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01   Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01  Phact Supportdesk: +31 478 700 567            © Phact BV 2022              Edit page     Dashboard     Settings     Website Design     Page cached on Thu. 25 May 19:55   Renew cache   
3,blog low code met of zonder partner.txt,blog low code met of zonder partner.txt.    Phact                    Onze diensten                          Software ontwikkeling                             Integratie                             Internet of Things                             Microsoft Power Platform                             Microsoft Azure                             Support & Beheer                           Over ons                          Over ons                             Onze werkwijze                             Cases                             Downloads                             Innovation Academy                             Ons team                             Werken bij Phact                             Onze Partners                          Blogs & Nieuws                      Werken bij                          Vacatures                           Neem contact op                         Onze diensten                    Software ontwikkeling                          Integratie                          Internet of Things                          Microsoft Power Platform                          Microsoft Azure                          Support & Beheer                    Over ons                    Over ons                          Onze werkwijze                          Cases                          Downloads                          Innovation Academy                          Ons team                          Werken bij Phact                          Onze Partners                    Blogs & Nieuws               Werken bij                    Vacatures                     Neem contact op           404. Dat is niet de bedoeling De pagina die je zoekt bestaat helaas niet (meer).     Homepage   Contact   LinkedIn     Navigatie  Home  Softwareontwikkeling  Integratie  Internet of Things  Support & Beheer  OutSystems  Suresense  Over ons  Onze werkwijze  Onze klanten  Vacatures en afstuderen  Informatiebeveiliging  Algemene voorwaarden  Privacy policy  Downloads   Contactinformatie  Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01   Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01  Phact Supportdesk: +31 478 700 567            © Phact BV 2022              Edit page     Dashboard     Settings     Website Design     Page cached on Thu. 25 May 19:59   Renew cache   
4,blog iot en security over de zwakke plek van iot.txt,blog iot en security over de zwakke plek van iot.txt.    Phact                    Onze diensten                          Software ontwikkeling                             Integratie                             Internet of Things                             Microsoft Power Platform                             Microsoft Azure                             Support & Beheer                           Over ons                          Over ons                             Onze werkwijze                             Cases                             Downloads                             Innovation Academy                             Ons team                             Werken bij Phact                             Onze Partners                          Blogs & Nieuws                      Werken bij                          Vacatures                           Neem contact op                         Onze diensten                    Software ontwikkeling                          Integratie                          Internet of Things                          Microsoft Power Platform                          Microsoft Azure                          Support & Beheer                    Over ons                    Over ons                          Onze werkwijze                          Cases                          Downloads                          Innovation Academy                          Ons team                          Werken bij Phact                          Onze Partners                    Blogs & Nieuws               Werken bij                    Vacatures                     Neem contact op           404. Dat is niet de bedoeling De pagina die je zoekt bestaat helaas niet (meer).     Homepage   Contact   LinkedIn     Navigatie  Home  Softwareontwikkeling  Integratie  Internet of Things  Support & Beheer  OutSystems  Suresense  Over ons  Onze werkwijze  Onze klanten  Vacatures en afstuderen  Informatiebeveiliging  Algemene voorwaarden  Privacy policy  Downloads   Contactinformatie  Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01   Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01  Phact Supportdesk: +31 478 700 567            © Phact BV 2022              Edit page     Dashboard     Settings     Website Design     Page cached on Thu. 25 May 19:59   Renew cache   
5,een proof of concept is onmisbaar bij het implementeren van een datagedreven strategie lees in deze blog waarom dat zo is.txt,een proof of concept is onmisbaar bij het implementeren van een datagedreven strategie lees in deze blog waarom dat zo is.txt.    Phact                    Onze diensten                          Software ontwikkeling                             Integratie                             Internet of Things                             Microsoft Power Platform                             Microsoft Azure                             Support & Beheer                           Over ons                          Over ons                             Onze werkwijze                             Cases                             Downloads                             Innovation Academy                             Ons team                             Werken bij Phact                             Onze Partners                          Blogs & Nieuws                      Werken bij                          Vacatures                           Neem contact op                         Onze diensten                    Software ontwikkeling                          Integratie                          Internet of Things                          Microsoft Power Platform                          Microsoft Azure                          Support & Beheer                    Over ons                    Over ons                          Onze werkwijze                          Cases                          Downloads                          Innovation Academy                          Ons team                          Werken bij Phact                          Onze Partners                    Blogs & Nieuws               Werken bij                    Vacatures                     Neem contact op           404. Dat is niet de bedoeling De pagina die je zoekt bestaat helaas niet (meer).     Homepage   Contact   LinkedIn     Navigatie  Home  Softwareontwikkeling  Integratie  Internet of Things  Support & Beheer  OutSystems  Suresense  Over ons  Onze werkwijze  Onze klanten  Vacatures en afstuderen  Informatiebeveiliging  Algemene voorwaarden  Privacy policy  Downloads   Contactinformatie  Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01   Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01  Phact Supportdesk: +31 478 700 567            © Phact BV 2022              Edit page     Dashboard     Settings     Website Design     Page cached on Thu. 25 May 19:57   Renew cache   
6,phact.nl tbt phact iso 27001 gecertificeerd.txt,"phact.nl tbt phact iso 27001 gecertificeerd.txt.     Throwback Thursday (TBT): Phact ISO 27001 gecertificeerd                        Onze diensten                          Software ontwikkeling                             Integratie                             Internet of Things                             Microsoft Power Platform                             Microsoft Azure                             Support & Beheer                           Over ons                          Over ons                             Onze werkwijze                             Cases                             Downloads                             Innovation Academy                             Ons team                             Werken bij Phact                             Onze Partners                          Blogs & Nieuws                      Werken bij                          Vacatures                           Neem contact op                         Onze diensten                    Software ontwikkeling                          Integratie                          Internet of Things                          Microsoft Power Platform                          Microsoft Azure                          Support & Beheer                    Over ons                    Over ons                          Onze werkwijze                          Cases                          Downloads                          Innovation Academy                          Ons team                          Werken bij Phact                          Onze Partners                    Blogs & Nieuws               Werken bij                    Vacatures                     Neem contact op                Sharing would be great!          Sharing would be great!             Delen              0                Delen                0                  Delen                  0                    Delen                    0                      Delen                   Follow us to receive the latest news!          Follow us to receive the latest news!          <:optin-form-placeholder>                 Delen                0                  Delen                  0                    Delen                    0                      Delen                      0                        Reageren                            0              Times shared              16 april 2020                     in Nieuws 1           min. leestijd           Throwback Thursday (TBT): Phact ISO 27001 gecertificeerd            Delen                  0                    Delen                    0                      Delen                      0                        Delen                        0                          Reageren              Delen        Delen             Delen          Reageren     Het is inmiddels ruim anderhalf jaar geleden (1 september 2018) dat wij officieel ISO/IEC 27001 zijn gecertificeerd. Voor ons was dit een heugelijke mijlpaal waar wij vandaag de dag nog steeds erg trots op zijn. Voor onze klanten is en was dit een bevestiging dat Phact zorgvuldig en veilig met informatie van haar klanten omgaat. Natuurlijk deden we dit ook al voor het behalen van het ISO27001 certificaat, maar sinds anderhalf jaar is het officieel geformaliseerd! Phact is ISO27001 gecertificeerd Wat houdt de ISO 27001 certificering in? De ISO 27001-norm is een internationale standaard voor informatiebeveiliging die zich richt op een procesmatige implementatie, toepassing en onderhoud van een informatiebeveiligingssysteem. Een onafhankelijke keuringsinstantie (in ons geval KIWA) controleert of opgeslagen informatie beschermd is tegen ongeautoriseerde toegang en bewerking. Netwerken, systemen en procedures moeten aantoonbaar zo zijn geïmplementeerd dat alle gegevens beschermd zijn tegen bedreigingen van buitenaf. In ons Information Security Management System (ISMS) hebben wij vastgelegd hoe wij bij Phact omgaan met informatiebeveiliging. En hoe er wordt omgegaan met de waarborging voor wat betreft beschikbaarheid, integriteit en vertrouwelijkheid van data van onszelf en van onze klanten. Waarom ISO 27001 certificering? Veilig databeheer is een hot topic, niet alleen in Nederland maar ook internationaal, daarom is het voor ons belangrijk dat onze klanten erop kunnen vertrouwen dat de informatie die zij met ons delen, veilig is bij ons. Dit is belangrijk omdat wij met onze diensten dagelijks veel (vertrouwelijke) informatie van onze klanten verwerken. Phact hecht er waarde aan hier zorgvuldig mee om te gaan en hierin de hoogste standaarden te waarborgen. Natuurlijk deden we dit al, maar met het behalen van dit certificaat heeft onze werkwijze een officieel en internationaal erkend keurmerk gekregen. Europese privacy verordening of AVG Tegelijkertijd met de ISO 27001 certificering hebben we ons ook voorbereid op de Europese Algemene Verordening Gegevensbescherming die sinds mei 2018 geldt als aanvulling op de Nederlandse Wet Bescherming Persoonsgegevens en de Meldplicht Datalekken.   Lees hier verder voor meer informatie over hou Phact omgaat met informatie beveiliging en privacy.          Delen            0              Delen              0                Delen                0                  Delen                  0                    Reageren           Delen       Anderen bekeken ook                 Waarom bij datagedreven werken een pilot of PoC áltijd de eerste stap is                    13 september 2022                        Data-driven werken vergt een grote cultuuromslag: 3 manieren om dit voor elkaar te krijgen                    13 september 2022                        Datagedreven werken? Volg dit stappenplan!                    13 september 2022                        Hoe Phact verschillende bedrijven data-driven heeft gemaakt                    08 september 2022                Navigatie  Home  Softwareontwikkeling  Integratie  Internet of Things  Support & Beheer  OutSystems  Suresense  Over ons  Onze werkwijze  Onze klanten  Vacatures en afstuderen  Informatiebeveiliging  Algemene voorwaarden  Privacy policy  Downloads   Contactinformatie  Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01   Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01  Phact Supportdesk: +31 478 700 567            © Phact BV 2022              Edit article     Dashboard     Settings     Website Design     Article cached on Thu. 25 May 19:58   Renew cache   "
7,phact.nl vacatures lowcode developer.txt,"phact.nl vacatures lowcode developer.txt.  Low-code Developer | Vacatures bij Phact      Onze diensten Software ontwikkeling Integratie Internet of Things Microsoft Power Platform Microsoft Azure Support & Beheer Over ons Over ons Onze werkwijze Cases Downloads Innovation Academy Ons team Werken bij Phact Onze Partners Blogs & Nieuws Werken bij Vacatures Neem contact op  Onze diensten Software ontwikkeling Integratie Internet of Things Microsoft Power Platform Microsoft Azure Support & Beheer Over ons Over ons Onze werkwijze Cases Downloads Innovation Academy Ons team Werken bij Phact Onze Partners Blogs & Nieuws Werken bij Vacatures Neem contact op Vacature: Low-code DeveloperBen jij de nieuwe collega die wij zoeken?Wat zoeken wij in jou?Als Low-code Developer binnen Phact is het jouw taak om de wensen van klanten technisch te realiseren. Jij bent bij Phact dus niet slechts verantwoordelijk voor het werken aan kleine deeloplossingen van een project maar altijd van A tot Z betrokken bij het grote geheel. Je ziet dus altijd zeer direct resultaat van je eigen werk. De projecten waaraan wij werken zijn heel veelzijdig. Veelal ontwikkelen wij omvangrijke business software oplossingen op OutSystems. Dit doen wij voor veel grote organisaties uit verschillende branches, zodat er voldoende afwisseling is. Kortom een technisch uitdagende positie waarin je veel leert en zelf kan en mag realiseren!Bezit jij de volgende skills? Affiniteit met verschillende programmeertalen zoals C#, C++, Java, Javascript en Python. Pro-activiteit. Het vermogen om zich snel nieuwe technieken eigen te maken. Minimaal een afgeronde HBO opleiding in de ICT. Ambitie om zichzelf te blijven ontwikkelen. Communicatief vaardig.InformatiebeveiligingPhact heeft informatiebeveiliging hoog in het vaandel. Het feit dat wij ons ieder jaar ISO27001 laten certificeren onderstreept dit. ISO27001 is een belangrijke internationale standaard als het gaat over informatiebeveiliging. In deze standaard staat hoe Phact procesmatig met het beveiligen van informatie omgaat met als doel om de vertrouwelijkheid, beschikbaarheid en integriteit van informatie zeker te stellen. Naast bovenstaande competenties vragen wij derhalve ook om: Affiniteit met IB. Integriteit. Verklaring omtrent gedrag (VOG).Over PhactPhact biedt innovatieve oplossingen die bedrijven efficiënter en wendbaarder maken, waardoor onze klanten zich net zo snel kunnen ontwikkelen als de business van hen vraagt. Hiermee ondersteunen wij onze klanten in hun digitale transformatie. Wij onderscheiden ons door onze mensen die stuk voor stuk een passie hebben voor ICT en betrokken zijn bij het succes van onze klanten. Hierbij zijn transparantie, toegankelijkheid en wederzijds vertrouwen leading. TransparantWij zijn volledig transparant naar klanten toe door overzichtelijke facturen en door hen toegang te geven tot onze projecttools. Pro-actiefWij denken niet alleen met onze klanten mee, maar ook vooruit. Zo krijgen onze klanten alleen dat wat ze echt nodig hebben. InnovatiefWe zijn creatief, gaan uitdagingen van onze klanten aan en benutten tezamen de kansen. PragmatischWij lossen problemen en vraagstukken daadwerkelijk op. KwalitatiefDoor de manier van ontwikkelen wordt software gedemonstreerd, geleverd, geëvalueerd en indien nodig herzien. FlexibelWij hanteren een zeer iteratieve werkwijze die gericht is op bouwen, testen en opleveren.Dit hebben wij jou te bieden Goed salarisJouw harde werk wordt beloond. VoedselIedere dag een verzorgd lunchbuffet en vers fruit. Informele werkomgevingWerk samen met ruim 45 gepassioneerde collegaâs. Uitstekende secundaire arbeidsvoorwaardenWaaronder een goede pensioenregeling en een internetvergoeding. VerantwoordelijkheidJe krijgt veel ruimte voor eigen initiatief en zelfontwikkeling. Werken met veel plezierIn de pauze kun je o.a. flipperen of een snelle tijd neerzetten in de playseat.Acquisitie op basis van deze vacature wordt niet op prijs gesteldLaat ons weten dat je bestaat!Kortom, wil jij bijdragen aan innovatieve totaaloplossingen voor onze klanten en je verder ontwikkelen in een snel groeiend bedrijf met een platte organisatie? Laat ons dan zo snel mogelijk horen waarom jij geschikt bent om ons team te versterken!Mail een knallende motivatiebrief + CV naar hrm@phact.nl Solliciteer direct Navigatie Home Softwareontwikkeling Integratie Internet of Things Support & Beheer OutSystems Suresense Over ons Onze werkwijze Onze klanten Vacatures en afstuderen Informatiebeveiliging Algemene voorwaarden Privacy policy Downloads Contactinformatie Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01 Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01Phact Supportdesk: +31 478 700 567  Â© Phact BV 2022     Edit page Dashboard Settings Website Design Page cached on Thu. 25 May 10:54 Renew cache "
8,phact.nl low code robovision ai platform.txt,"phact.nl low code robovision ai platform.txt.  Robovision het low-code AI-platform        Onze diensten Software ontwikkeling Integratie Internet of Things Microsoft Power Platform Microsoft Azure Support & Beheer Over ons Over ons Onze werkwijze Cases Downloads Innovation Academy Ons team Werken bij Phact Onze Partners Blogs & Nieuws Werken bij Vacatures Neem contact op  Onze diensten Software ontwikkeling Integratie Internet of Things Microsoft Power Platform Microsoft Azure Support & Beheer Over ons Over ons Onze werkwijze Cases Downloads Innovation Academy Ons team Werken bij Phact Onze Partners Blogs & Nieuws Werken bij Vacatures Neem contact op Sharing would be great! Sharing would be great! Delen 0 Delen 0 Delen 0 Delen 0 Delen Follow us to receive the latest news! Follow us to receive the latest news! <:optin-form-placeholder>   Delen 0 Delen 0 Delen 0 Delen 0 Reageren 0 Times shared 09 maart 2022  in Artificial Intelligence5 min. leestijdZo werkt het low-code Robovision AI-platform Delen 0 Delen 0 Delen 0 Delen 0 Reageren Delen Delen Delen Reageren De basis voor een succesvolle Artificial Intelligence-uitrol kent een paar kenmerken. EÃ©n daarvan is een nauwe samenwerking tussen een data scientist en een productspecialist. Daarnaast biedt het gebruik van een low-code AI-platform, zoals dat van Robovision, verschillende voordelen. Enerzijds legt dit de lat iets lager om eenvoudig en snel met Artificial Intelligence aan de slag te gaan, anderzijds is het Robovision AI-platform voorzien van diverse gestandaardiseerde extraâs, zoals getrainde algoritmes voor diverse toepassingen.Kies voor het low-code Robovision AI-platformDe grootste kans op succes met een Artificial Intelligence-project bereik je door kleinschalig te starten. Door aanvullend te kiezen voor het Robovision AI-platform, neemt de kans op succes nog verder toe.Laat Artificial Intelligence ook echt iets toevoegenUiteraard is het wel van belang om Artificial Intelligence toe te passen op een gebied waar het ook echt iets toevoegt. Technologie implementeren moet een doel hebben. Bij het scheiden van het kaf van het koren wat betreft haalbaarheid, helpen we je als Phact graag. Een Proof of Concept voor jouw AI-project [LINK NAAR BLOG OVER POC] helpt daar absoluut bij.Robovision: logisch, laagdrempelig en rijk aan algoritmesHet voordeel van het low-code AI-platform van Robovision is dat het logisch is opgezet en dat gebruikers, na de livegang, heel laagdrempelig aan de slag kunnen. Bijvoorbeeld door gebruik te maken van standaard templates. Ook is het platform voorzien van diverse tools om Â het detecteren van diverse zaken, van personen tot objecten Ã©n het volgen daarvan mogelijk te maken. Een voorbeeld van een behoorlijk ver ontwikkeld algoritme is de functie waarmee te bepalen is of mensen alle artikelen in een winkel afrekenen.Eenvoudig instelbaar met handige selectietoolsHet laagdrempelige gebruik van het low-code AI-platform van Robovision komt ook heel duidelijk naar voren in de manier waarop gebruikers kunnen aangeven hoe ze data willen invoeren of voorwerpen willen selecteren. Immers, Artificial Intelligence en zeker technologie waarbij vision een sleutelrol speelt, is gemaakt om slimmer te opereren. Met handige gereedschappen binnen het Robovision AI-platform is precies aan te geven op welk punt een machine een plant of bloem moet afsnijden of hoe een machine een stekje of plant in de grond moet stoppen. Hetzelfde geldt voor hoe Artificial Intelligence varkens moet detecteren. Een box tool is daarvoor erg geschikt, doordat hiermee een box over een object is te trekken. Maar er zijn ook lassoâs toegevoegd. Een stuk land daarentegen is weer eenvoudig te omlijnen met puntjes. Dergelijke basiselementen bespaart tijd Ã©n dus geld. Afhankelijk van het object of de omvang van een item, kies je als gebruiker voor de gewenste selectietool.BoxtoolGrabcutProjectmanagement en continue aandachtHoewel het low-code Robovision AI-platform een uitkomst is voor veel bedrijven die met Artificial Intelligence op vision basis aan de slag willen, zijn er nog twee laatste aspecten die de kans op succes bepalen. Dat is ten eerste de combinatie van de juiste mensen en het projectmanagement. Is dat op orde, dan vergroot dat de kansen zeer. Toch bewijst de praktijk dat het te vaak voorkomt dat er iets aan projectmanagement schort. Daarom kan het verstandig zijn om hiervoor een externe partij in te schakelen. Het tweede aspect is dat het toewerken naar de livegang energie kost, maar het goed live houden eveneens. Het algoritme moet betrouwbaar blijven. Krijgt een product een andere kleur of vorm, dan moet je daar het algoritme daar ook op trainen. Robovision maakt het bij- en hertrainen van algoritmes enorm laagdrempelig.Download het E-book: 4 prikkelende voorbeelden van Artificial Intelligence met vision technologieErvaring helptOf het nu het leveren van hulp is bij de uitrol van Robovision technologie of het geven van advies, Phact is een ervaren partij. We laten graag zien welke mogelijkheden Artificial Intelligence jouw organisatie kan bieden en hoe schaalbaarheid in de praktijk werkt. Wij kijken samen met jou naar de keuze voor on-premises of cloud en zorgen ervoor dat het integreert met de huidige infrastructuur. Phact beheerst alle facetten van technologie die komen kijken bij de omarming van het slimme Robovision-platform en de integratie met de bestaande applicaties. Kortom wij ontwikkelen totaaloplossingen waar de algoritmes van Robovision een integraal onderdeel van zijn. Nieuwsgierig? Wij delen meer dan graag onze kennis met jou.Daag ons uit! Is Artificial Intelligence voor jouw specifieke uitdaging de oplossing? Klik hier om met ons te sparren. Delen 0 Delen 0 Delen 0 Delen 0 Reageren Delen Anderen bekeken ook Waarom bij datagedreven werken een pilot of PoC Ã¡ltijd de eerste stap is 13 september 2022 Data-driven werken vergt een grote cultuuromslag: 3 manieren om dit voor elkaar te krijgen 13 september 2022 Datagedreven werken? Volg dit stappenplan! 13 september 2022 Hoe Phact verschillende bedrijven data-driven heeft gemaakt 08 september 2022 Navigatie Home Softwareontwikkeling Integratie Internet of Things Support & Beheer OutSystems Suresense Over ons Onze werkwijze Onze klanten Vacatures en afstuderen Informatiebeveiliging Algemene voorwaarden Privacy policy Downloads Contactinformatie Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01 Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01Phact Supportdesk: +31 478 700 567  Â© Phact BV 2022     Edit article Dashboard Settings Website Design Article cached on Thu. 25 May 11:00 Renew cache "
9,blog waarom 87 van de ai en machine learning projecten mislukt.txt,blog waarom 87 van de ai en machine learning projecten mislukt.txt.    Phact                    Onze diensten                          Software ontwikkeling                             Integratie                             Internet of Things                             Microsoft Power Platform                             Microsoft Azure                             Support & Beheer                           Over ons                          Over ons                             Onze werkwijze                             Cases                             Downloads                             Innovation Academy                             Ons team                             Werken bij Phact                             Onze Partners                          Blogs & Nieuws                      Werken bij                          Vacatures                           Neem contact op                         Onze diensten                    Software ontwikkeling                          Integratie                          Internet of Things                          Microsoft Power Platform                          Microsoft Azure                          Support & Beheer                    Over ons                    Over ons                          Onze werkwijze                          Cases                          Downloads                          Innovation Academy                          Ons team                          Werken bij Phact                          Onze Partners                    Blogs & Nieuws               Werken bij                    Vacatures                     Neem contact op           404. Dat is niet de bedoeling De pagina die je zoekt bestaat helaas niet (meer).     Homepage   Contact   LinkedIn     Navigatie  Home  Softwareontwikkeling  Integratie  Internet of Things  Support & Beheer  OutSystems  Suresense  Over ons  Onze werkwijze  Onze klanten  Vacatures en afstuderen  Informatiebeveiliging  Algemene voorwaarden  Privacy policy  Downloads   Contactinformatie  Phact BV Keizersveld 83 5803AP Venray +31 478 700 566 info@phact.nl KvK nummer: 63144379 BTW nummer: NL855111276B01   Phact Consultancy BV KvK nummer: 86859579 BTW nummer: NL864119562B01  Phact Supportdesk: +31 478 700 567            © Phact BV 2022              Edit page     Dashboard     Settings     Website Design     Page cached on Thu. 25 May 19:56   Renew cache   
